urn,label,description,data,link
urn:cite2:exploreHomer:place.v1:place32,Kainepolis,"An ancient place, cited: BAtlas 58 C5 Kainepolis","tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.442714, 36.460433""",https://pleiades.stoa.org/places/570322
urn:cite2:hmt:place.v1:place197,Panopeus,city in Phocis,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.79418, 38.49551""",https://pleiades.stoa.org/places/541008
urn:cite2:hmt:place.v1:place322,Histiaia,"or Hestiaia, a city in Euboea","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""23.06593, 38.93759""",https://pleiades.stoa.org/places/540817
urn:cite2:exploreHomer:place.v1:place33,Helos,"An ancient place, cited: BAtlas 56 C4 Helos","tagging=""Laconians"" commenting=""Commander: Menelaos"" coordinates=""26.361312, 38.574035""",https://pleiades.stoa.org/places/550568
urn:cite2:exploreHomer:place.v1:place34,Myrkinos,"An ancient place, cited: BAtlas 51 B3 Myrkinos","tagging=""Elis"" commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos"" coordinates=""23.819776, 40.901252""",https://pleiades.stoa.org/places/501520
urn:cite2:exploreHomer:place.v1:place35,Alesion M.,"An ancient place, cited: BAtlas 58 C2 Alesion M.","tagging=""Elis"" commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos"" coordinates=""22.43409, 37.65988""",https://pleiades.stoa.org/places/570064
urn:cite2:hmt:place.v1:place360,Knossos,"or Cnosos, majors city on Crete","tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""25.163106, 35.297847""",https://pleiades.stoa.org/places/589872
urn:cite2:exploreHomer:place.v1:place36,Alope,"An ancient place, cited: BAtlas 55 D3 Alope","tagging=""Myrmidons"" commenting=""Commander: Achilles"" coordinates=""22.79812, 38.88481""",https://pleiades.stoa.org/places/540621
urn:cite2:exploreHomer:place.v1:place37,Messa,"An ancient place, cited: BAtlas 58 C4 Messa","tagging=""Laconians"" commenting=""Commander: Menelaos"" coordinates=""22.38113, 36.531845""",https://pleiades.stoa.org/places/570478
urn:cite2:hmt:place.v1:place199,Cynus,town in Locris,"tagging=""Locrians"" commenting=""Commander: Ajax Oileus"" coordinates=""23.0622, 38.7234""",https://pleiades.stoa.org/places/540896
urn:cite2:hmt:place.v1:place49,Thebes,in Boetia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.255096, 38.318092""",https://pleiades.stoa.org/places/541138
urn:cite2:exploreHomer:place.v1:place38,Nisa,"An ancient place, cited: BAtlas 55 unlocated Nisa","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""",https://pleiades.stoa.org/places/543807
urn:cite2:hmt:place.v1:place380,Pteleon,a town in Thessaly,"tagging=""Pylos"" commenting=""Commander: Nestor"" coordinates=""22.97464, 39.03369""",https://pleiades.stoa.org/places/541077
urn:cite2:exploreHomer:place.v1:place39,Kyllene (mountain),"A mountain in Arcadia (Greece), still known as Kyllene today.","tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.3957984, 37.9391027""",https://pleiades.stoa.org/places/570391
urn:cite2:hmt:place.v1:place237,Hyrmine,A port in northern Elis,"tagging=""Elis"" commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos"" coordinates=""21.135668, 37.886492""",https://pleiades.stoa.org/places/570305
urn:cite2:hmt:place.v1:place48,Lindos,on Rhodes,"tagging=""Rhodians"" commenting=""Commander: Tleptolemos"" coordinates=""28.15629, 36.41451""",https://pleiades.stoa.org/places/589913
urn:cite2:hmt:place.v1:place400,Practius,"a river in the Troad, north of Abydus","commenting=""Commander: Asios"" coordinates=""26.75, 40.25""",https://pleiades.stoa.org/places/501577
urn:cite2:hmt:place.v1:place154,Abantes,USE EPONYMOUS ANCESTOR INSTEAD,"tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""23.75, 38.75""",https://pleiades.stoa.org/places/540583
urn:cite2:exploreHomer:place.v1:place40,Syme,"An ancient place, cited: BAtlas 61 F4 Syme","tagging=""Syme"" commenting=""Commander: Nireus"" coordinates=""27.843425, 36.61839""",https://pleiades.stoa.org/places/599950
urn:cite2:hmt:place.v1:place384,Methone,"a city in Magnesia, the home of Philoctetes","tagging=""Methonians"" commenting=""Commader: Philoctetes"" coordinates=""23.069231, 39.327998""",https://pleiades.stoa.org/places/540946
urn:cite2:exploreHomer:place.v1:place41,Parthenios (river),"An ancient place, cited: BAtlas 62 E2 Parthenios fl.","tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""30.75, 39.75""",https://pleiades.stoa.org/places/609495
urn:cite2:hmt:place.v1:place1,Athens,city in Attica,"coordinates=""23.726464, 37.971687""",https://pleiades.stoa.org/places/579885
urn:cite2:hmt:place.v1:place310,Coroneia,"or Coronea, a city in Boeotia, south of lake Copais","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""22.956902, 38.392613""",https://pleiades.stoa.org/places/540717
urn:cite2:hmt:place.v1:place336,Pellene,a town in Achaea,"tagging=""Mycenaeans"" commenting=""Commander: Agamemnon"" coordinates=""22.5384, 38.0446""",https://pleiades.stoa.org/places/570576
urn:cite2:hmt:place.v1:place132,Samos,island in the eastern Aegean,"tagging=""Cephallenians"" commenting=""Commander: Odysseus"" coordinates=""26.84, 37.73""",https://pleiades.stoa.org/places/599925
urn:cite2:exploreHomer:place.v1:place42,Gortys,"An ancient place, cited: BAtlas 58 C2 Gortys","tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""22.041, 37.534""",https://pleiades.stoa.org/places/570267
urn:cite2:hmt:place.v1:place107,Calydon,city in Aeolia,"tagging=""Aetolians"" commenting=""Commander: Thoas"" coordinates=""21.533106, 38.372423""",https://pleiades.stoa.org/places/540699
urn:cite2:hmt:place.v1:place383,Glaphyrae,town in Thessaly,"tagging=""Pheraians"" commenting=""Commander: Admetos"" coordinates=""22.8833, 39.444""",https://pleiades.stoa.org/places/540790
