γλώσσης,γλῶσσα,n-s---fg-,زبان ,Ref=1.249
γούνων,γόνυ,n-p---ng-,زانو,Ref=1.407
γουνάσομαι,γουνάζομαι,v1sfie---,به زانو افتادن,Ref=1.427
γυνὴ,γυνή,n-s---fn-,زن,Ref=1.348
δαιμονίη,δαιμόνιος,a-s---fv-,فریفته,Ref=1.561
δαίμονας,δαίμων,n-p---ma-,ایزد، روح,Ref=1.222
δαίνυντ',δαίνυμι,v3piie---,جشن گرفتن,Ref=1.468|SpaceAfter=No
δαῖτα,δαίς,n-s---fa-, جشن، ضیافت,Ref=1.424|SpaceAfter=No
δάκρυ,δάκρυον,n-s---na-,اشک,Ref=1.413
δακρύσας,δακρύω,v-sapamn-,گریستن,Ref=1.349
δαμᾷ,δαμάζω,v3sfia---,در هم شکستن,Ref=1.61
Δαναοῖσιν,Δαναοί,n-p---md-,داناییان,Ref=1.456
δασμὸς,δασμός,n-s---mn-,تقسیم غنایم,Ref=1.166
δέδασται,δατέομαι,v3srie---,قسمت کردن,Ref=1.125|SpaceAfter=No
δ',δέ,g--------,و,Ref=1.3
ἔδεισεν,δείδω,v3saia---,ترسیدن,Ref=1.33
δειλός,δειλός,a-s---mn-,بزدل,Ref=1.293
δεινὴ,δεινός,a-s---fn-,سهمگین، هولناک,Ref=1.49
δεκάτῃ,δέκατος,a-s---fd-,دهم,Ref=1.54
δέμας,δέμας,n-s---na-, اندام,Ref=1.115
δεξιτερῇ,δεξιτερός,a-s---fd-,دست راست,Ref=1.501
δέος,δέος,n-s---nn-,ترس,Ref=1.515|SpaceAfter=No
δέπας,δέπας,n-s---na-,جام,Ref=1.584
δερκομένοιο,δέρκομαι,v-sppemg-,نگریستن، نظاره‌ کردن,Ref=1.88
ἔδειραν,δέρω,v3paia---, پوست کندن,Ref=1.459|SpaceAfter=No
δεσμῶν,δεσμός,n-p---mg-,بند,Ref=1.401|SpaceAfter=No
δεῦρο,δεῦρο,d--------,به اینجا,Ref=1.153
δεύτερον,δεύτερος,a-s---na-,دوباره، بعدی,Ref=1.513
δευόμενον,δεύω,v-sppema-,فاقد بودن، بی‌نصیب بودن,Ref=1.134|SpaceAfter=No
ἐδέξατο,δέχομαι,v3saim---,پذیرفتن,Ref=1.596
ἔδησαν,δέω,v3paia---,بستن، کم داشتن,Ref=1.406|SpaceAfter=No
δὴ,δή,g--------,اکنون، همانا,Ref=1.6
δηθύνοντ',δηθύνω,v-sppama-,درنگ کردن,Ref=1.27
ἐδηλήσαντ',δηλέομαι,v3paie---,آسیب رساندن,Ref=1.156|SpaceAfter=No
δημοβόρος,δημοβόρος,a-s---mn-, مردم‌خوار,Ref=1.231
δήν,δήν,d--------,بلند، طولانی,Ref=1.416|SpaceAfter=No
διὰ,διά,r--------,از طریق، میان,Ref=1.72
διάνδιχα,διάνδιχα,d--------,دودل، بین دو تصمیم,Ref=1.189
διεπράθομέν,διαπέρθω,v1paia---,غارت کردن,Ref=1.367
διαπρήσσουσα,διαπράσσω,v-sppafn-,در‌نوردیدن,Ref=1.483
διέτμαγεν,διατμήγω,v3paip---,جدا شدن,Ref=1.531|SpaceAfter=No
δοῖεν,δίδωμι,v3paoa---,دادن، اعطا کردن,Ref=1.18
διείρεο,διείρομαι,v2spme---,پرسیدن، جویا شدن,Ref=1.550
διέπουσ',διέπω,v3ppia---,پیش بردن، اداره کردن,Ref=1.166|SpaceAfter=No
διαστήτην,διίστημι,v3daia---,کناره گرفتن,Ref=1.6
δικαζέμεν,δικάζω,v--pna---,داوری کردن,Ref=1.542|SpaceAfter=No
δικασπόλοι,δικασπόλος,n-p---mn-,قانون‌گزار,Ref=1.238|SpaceAfter=No
διογενὲς,διογενής,a-s---nv-,زئوس‌تبار,Ref=1.337
δῖος,δῖος,a-s---mn-,خدای‌گون,Ref=1.7
διοτρεφέων,Διοτρεφής,a-p---mg-,زئوس‌پرورده,Ref=1.176
δίπτυχα,δίπτυχος,a-p---na-,دو لایه ,Ref=1.461
δολομῆτα,δολομήτης,n-s---mv-,فریبکار,Ref=1.540
δουρί,δόρυ,n-s---nd-,نیزه‌‌‌,Ref=1.303|SpaceAfter=No
