named_entity_urn,ref,token_position
urn:cite2:hmt:place.v1:place44,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,334
urn:cite2:hmt:place.v1:place44,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,13
urn:cite2:hmt:place.v1:place387,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,81
urn:cite2:hmt:place.v1:place70,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,38
urn:cite2:hmt:place.v1:place180,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,167
urn:cite2:exploreHomer:place.v1:place56,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,181
urn:cite2:hmt:place.v1:place147,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,242
urn:cite2:hmt:place.v1:place162,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,15
urn:cite2:hmt:place.v1:place218,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,169
urn:cite2:exploreHomer:place.v1:place57,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,321
urn:cite2:exploreHomer:place.v1:place58,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,247
urn:cite2:exploreHomer:place.v1:place59,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,164
urn:cite2:hmt:place.v1:place205,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,144
urn:cite2:exploreHomer:place.v1:place60,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,284
urn:cite2:exploreHomer:place.v1:place61,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,194
urn:cite2:exploreHomer:place.v1:place62,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,231
urn:cite2:exploreHomer:place.v1:place62,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,232
urn:cite2:hmt:place.v1:place328,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,343
