ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
47.97.t17,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
47.97.t18,ἑνὸς,ἑνὸς,εἷς,1: naar binnen | in | tot aan; tegen,,m-s---mg-,,
47.97.t19,μόνου,μόνου,μόνος,1: alleen,adjective,a-s---mg-,genitive,
47.97.t20,ἐκείνου,ἐκείνου,ἐκεῖνος,"1: die, dat",pronoun,p-s---mg-,genitive,
47.97.t21,ὃς,ὃς,ὅς,"1: die, dat",pronoun,p-s---mn-,nominative,
47.97.t22,ἂν,ἂν,ἄν,1: ,adverb,d--------,,
47.97.t23,τυγχάνῃ,τυγχάνῃ,τυγχάνω,"1: aantreffen, verkrijgen | (toevallig) zijn",verb,v3spsa---,,subjunctive
47.97.t24,ἰατρὸς,ἰατρὸς,ἰατρός,"one who heals, physician or surgeon",noun,n-s---mn-,nominative,
47.97.t25,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
47.97.t26,παιδοτρίβης,παιδοτρίβης,παιδοτρίβης,"physical trainer, gymnastic master",noun,n-s---mn-,nominative,
47.97.t27,ὤν;,ὤν,εἰμί,1: gaan,verb,v-sppamn-,nominative,participle
47.98.t1,ἑνὸς,ἑνὸς,εἷς,1: naar binnen | in | tot aan; tegen,,m-s---mg-,,
47.98.t2,μόνου.,μόνου,μόνος,1: alleen,adjective,a-s---mg-,genitive,
47.98.t3,[0],[0],,,,,,
47.98.t4,[1],[1],,,,,,
47.99.t1,οὐκοῦν,οὐκοῦν,οὐκοῦν,"1: wel dus | niet waar, dus niet?",adverb,d--------,,
47.99.t2,φοβεῖσθαι,φοβεῖσθαι,φοβέω,put to flight,verb,v--pne---,,infinitive
