ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
13.t14,ᾧ,ᾧ,ὅς,PRONOUN,"who, that, which: relative pronoun",DAT.SG N,p-s---nd-
13.t15,"βούλεται,",βούλεται,βούλομαι,VERB,"to will, wish, be willing",PRES MID 3SG IND,v3spie---
13.t16,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t17,"τοῦτο,",τοῦτο,οὗτος,ADJ,this; that,ACC.SG N,a-s---na-
13.t18,ὥσπερ,ὥσπερ,ὥσπερ,CONJ,"just as if, even as",INDECL,c--------
13.t19,ἐγώ,ἐγώ,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
13.t20,"φημι,",φημι,φημί,VERB,"to say, to claim",PRES ACT 1SG IND,v1spia---
13.t21,οὕτω,οὕτω,οὕτως,ADV,"so, in this manner",INDECL,d--------
13.t22,πάντες,πάντες,πᾶς,ADJ,"all, the whole",NOM.PL M,a-p---mn-
13.t23,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t24,λέγουσι,λέγουσι,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES ACT 3PL IND,v3ppia---
13.t25,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t26,νομίζουσιν.,νομίζουσιν,νομίζω,VERB,to have as a custom; to believe,PRES ACT 3PL IND,v3ppia---
13.t27,ἀλλʼ,ἀλλʼ,ἀλλά,,"otherwise, but",INDECL,b--------
13.t28,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
13.t29,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
13.t30,οἰωνούς,οἰωνούς,οἰωνός,NOUN,"a large bird, bird of prey; omen",ACC.PL M,n-p---ma-
13.t31,τε,τε,τε,,and,INDECL,b--------
13.t32,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t33,φήμας,φήμας,φήμη,NOUN,"a voice from heaven, a prophetic voice",ACC.PL F,n-p---fa-
13.t34,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t35,συμβόλους,συμβόλους,σύμβολος,NOUN,"an augury, omen",ACC.PL M,n-p---ma-
13.t36,τε,τε,τε,,and,INDECL,b--------
13.t37,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t38,μάντεις,μάντεις,μάντις,NOUN,"one who divines, a seer, prophet",ACC.PL M,n-p---ma-
